subscale,id,score_after,score_before,total_hours_played_after,total_hours_played_before,hours_diff,score_diff,loneliness_after
stress,1,34,18,35,10,-25,-16,7
stress,2,0,0,35,10,-25,0,3
stress,3,4,2,15,0,-15,-2,8
stress,4,22,20,0,0,0,-2,6
stress,5,36,20,30,22,-8,-16,5
stress,6,6,8,30,22,-8,2,3
stress,7,16,18,0,0,0,2,5
stress,8,0,0,15,15,0,0,3
stress,9,14,30,80,20,-60,16,3
stress,10,12,14,35,25,-10,2,5
stress,11,0,0,0,30,30,0,5
stress,12,6,0,4,8,4,-6,4
stress,13,4,6,35,10,-25,2,7
stress,14,38,24,0,0,0,-14,6
stress,15,24,30,15,0,-15,6,7
stress,16,18,0,60,75,15,-18,5
stress,17,0,4,24,0,-24,4,5
stress,18,24,26,40,31,-9,2,9
stress,19,0,12,64,40,-24,12,3
stress,20,16,12,41,15,-26,-4,4
stress,21,12,2,35,15,-20,-10,7
stress,22,14,20,30,0,-30,6,6
stress,23,0,8,28.999999999999996,14.000000000000002,-14.999999999999995,8,3
stress,24,0,8,0,0,0,8,3
stress,25,0,0,45,15,-30,0,3
stress,26,34,20,15.75,35,19.25,-14,6
stress,27,24,12,0,0,0,-12,9
stress,28,26,14,40,12,-28,-12,6
stress,29,16,10,35,35,0,-6,6
stress,30,18,14,40,20,-20,-4,6
stress,31,14,6,18,6,-12,-8,7
stress,32,6,12,30,30,0,6,7
stress,33,12,22,10,10,0,10,4
stress,34,30,10,70,30,-40,-20,6
stress,35,0,0,21,0,-21,0,3
stress,36,22,12,9,15,6,-10,4
stress,37,14,8,32,0,-32,-6,7
stress,38,8,8,45,25,-20,0,5
stress,39,14,12,0,0,0,-2,3
stress,40,14,2,56.24,43.2,-13.04,-12,5
stress,41,28,30,7.000000000000001,4,-3.000000000000001,2,8
stress,42,20,18,8,5,-3,-2,8
stress,43,18,22,90,0,-90,4,5
stress,44,8,12,25,6,-19,4,9
stress,45,18,14,40,48,8,-4,7
stress,46,4,2,0,50,50,-2,4
stress,47,18,14,30,21,-9,-4,9
stress,48,10,12,35,40,5,2,4
stress,49,36,28,20,15,-5,-8,6
stress,50,28,16,15,2,-13,-12,5
stress,51,10,8,0,0,0,-2,3
stress,52,8,12,50,20,-30,4,5
stress,53,12,10,14,8,-6,-2,6
stress,54,6,4,0,0,0,-2,3
stress,55,0,6,22,20,-2,6,3
stress,56,24,20,14.000000000000002,6,-8.000000000000002,-4,9
stress,57,20,16,45,30,-15,-4,9
stress,58,20,28,0,15,15,8,7
stress,59,22,14,0,0,0,-8,9
stress,60,36,34,30,45,15,-2,9
stress,61,12,14,0,15,15,2,6
stress,62,16,6,10,0,-10,-10,8
stress,63,16,8,30,14.000000000000002,-15.999999999999998,-8,5
stress,64,10,22,15,5,-10,12,6
stress,65,24,12,0,0,0,-12,9
stress,66,32,22,40,8,-32,-10,6
